RK,TIERS,PLAYER NAME,TEAM,POS,BYE,SOS,ECR VS ADP,Team
107,8,J.K. Dobbins,DEN,RB36,12,2 out of 5 stars,+1,UNK
108,8,Rhamondre Stevenson,NE,RB37,14,4 out of 5 stars,+1,UNK
109,8,Jordan Love,GB,QB17,5,2 out of 5 stars,+23,UNK
110,8,Trevor Lawrence,JAC,QB18,8,3 out of 5 stars,+29,UNK
111,8,Khalil Shakir,BUF,WR45,7,3 out of 5 stars,-20,UNK
112,8,Keon Coleman,BUF,WR46,7,3 out of 5 stars,+4,UNK
113,8,Cam Skattebo,NYG,RB38,14,3 out of 5 stars,-11,UNK
114,8,C.J. Stroud,HOU,QB19,6,3 out of 5 stars,+17,UNK
115,8,Kyle Pitts Sr.,ATL,TE12,5,3 out of 5 stars,+22,UNK
116,8,J.J. McCarthy,MIN,QB20,6,2 out of 5 stars,+18,UNK
117,8,Josh Downs,IND,WR47,11,4 out of 5 stars,-4,UNK
118,8,Dallas Goedert,PHI,TE13,9,3 out of 5 stars,+24,UNK
119,9,Chris Godwin Jr.,TB,WR48,9,3 out of 5 stars,-34,UNK
120,9,Dalton Kincaid,BUF,TE14,7,3 out of 5 stars,+5,UNK
121,9,Austin Ekeler,WAS,RB39,12,2 out of 5 stars,0,UNK
122,9,Cooper Kupp,SEA,WR49,8,3 out of 5 stars,-34,UNK
123,9,Braelon Allen,NYJ,RB40,9,5 out of 5 stars,+20,UNK
124,9,Darnell Mooney,ATL,WR50,5,3 out of 5 stars,-2,UNK
125,9,Najee Harris,LAC,RB41,12,2 out of 5 stars,-21,UNK
126,9,Michael Pittman Jr.,IND,WR51,11,4 out of 5 stars,-16,UNK
127,9,Trey Benson,ARI,RB42,8,3 out of 5 stars,+9,UNK
128,9,Ray Davis,BUF,RB43,7,4 out of 5 stars,+18,UNK
129,9,Rashid Shaheed,NO,WR52,11,4 out of 5 stars,+9,UNK
130,9,Colston Loveland,CHI,TE15,5,4 out of 5 stars,-15,UNK
131,9,Brian Robinson Jr.,SF,RB44,14,3 out of 5 stars,-32,UNK
132,9,Nick Chubb,HOU,RB45,6,2 out of 5 stars,+8,UNK
133,9,Quinshon Judkins,CLE,RB46,9,4 out of 5 stars,-41,UNK
134,9,Brandon Aiyuk,SF,WR53,14,4 out of 5 stars,-16,UNK
135,9,Joe Mixon,HOU,RB47,6,2 out of 5 stars,-61,UNK
136,9,Tua Tagovailoa,MIA,QB21,12,5 out of 5 stars,+15,UNK
137,9,Rachaad White,TB,RB48,9,3 out of 5 stars,-10,UNK
138,9,Jake Ferguson,DAL,TE16,10,2 out of 5 stars,-15,UNK
139,9,Tyler Allgeier,ATL,RB49,5,4 out of 5 stars,+9,UNK
140,9,Rashod Bateman,BAL,WR54,7,3 out of 5 stars,+23,UNK
141,9,Jaydon Blue,DAL,RB50,10,2 out of 5 stars,-17,UNK
142,9,Christian Kirk,HOU,WR55,6,4 out of 5 stars,+3,UNK
143,9,Bryce Young,CAR,QB22,14,3 out of 5 stars,+16,UNK
144,9,Marvin Mims Jr.,DEN,WR56,12,3 out of 5 stars,-11,UNK
145,9,Hunter Henry,NE,TE17,14,3 out of 5 stars,+10,UNK
146,9,Bhayshul Tuten,JAC,RB51,8,2 out of 5 stars,-16,UNK
147,9,Michael Penix Jr.,ATL,QB23,5,4 out of 5 stars,+10,UNK
148,9,Jerome Ford,CLE,RB52,9,4 out of 5 stars,-13,UNK
149,9,Dylan Sampson,CLE,RB53,9,4 out of 5 stars,0,UNK
150,9,Tyjae Spears,TEN,RB54,10,2 out of 5 stars,-21,UNK
151,9,Cedric Tillman,CLE,WR57,9,2 out of 5 stars,+14,UNK
152,9,Luther Burden III,CHI,WR58,5,2 out of 5 stars,-8,UNK
153,9,Jayden Higgins,HOU,WR59,6,4 out of 5 stars,-27,UNK
154,10,Geno Smith,LV,QB24,8,3 out of 5 stars,+8,UNK
155,10,Denver Broncos,DEN,DST1,12,4 out of 5 stars,-8,UNK
156,10,Jonnu Smith,PIT,TE18,5,3 out of 5 stars,-37,UNK
157,10,Matthew Stafford,LAR,QB25,8,3 out of 5 stars,+4,UNK
158,10,Zach Ertz,WAS,TE19,12,3 out of 5 stars,-2,UNK
159,10,Isaiah Likely,BAL,TE20,7,3 out of 5 stars,+9,UNK
160,10,Romeo Doubs,GB,WR60,5,2 out of 5 stars,+28,UNK
161,10,Philadelphia Eagles,PHI,DST2,9,2 out of 5 stars,-9,UNK
162,10,Rico Dowdle,CAR,RB55,14,3 out of 5 stars,-21,UNK
163,10,Keenan Allen,LAC,WR61,12,3 out of 5 stars,-9,UNK
164,10,Marquise Brown,KC,WR62,10,3 out of 5 stars,-11,UNK
165,10,Pittsburgh Steelers,PIT,DST3,5,3 out of 5 stars,-5,UNK
166,10,Joshua Palmer,BUF,WR63,7,3 out of 5 stars,+18,UNK
167,10,Tre' Harris,LAC,WR64,12,3 out of 5 stars,-17,UNK
168,10,Baltimore Ravens,BAL,DST4,7,3 out of 5 stars,+17,UNK
169,10,Adam Thielen,MIN,WR65,6,2 out of 5 stars,-2,UNK
170,10,Kyle Williams,NE,WR66,14,3 out of 5 stars,+1,UNK
171,10,Minnesota Vikings,MIN,DST5,6,2 out of 5 stars,+2,UNK
172,10,DeMario Douglas,NE,WR67,14,3 out of 5 stars,+15,UNK
173,10,Ollie Gordon II,MIA,RB56,12,4 out of 5 stars,+16,UNK
174,10,Isaac Guerendo,SF,RB57,14,3 out of 5 stars,-8,UNK
175,10,Quentin Johnston,LAC,WR68,12,3 out of 5 stars,+44,UNK
176,10,Cam Ward,TEN,QB26,10,2 out of 5 stars,-18,UNK
177,10,Sam Darnold,SEA,QB27,8,4 out of 5 stars,-7,UNK
178,10,Wan'Dale Robinson,NYG,WR69,14,2 out of 5 stars,+4,UNK
179,10,Jaylen Wright,MIA,RB58,12,4 out of 5 stars,+1,UNK
180,10,Brenton Strange,JAC,TE21,8,3 out of 5 stars,-11,UNK
181,10,Houston Texans,HOU,DST6,6,2 out of 5 stars,+2,UNK
182,10,Roschon Johnson,CHI,RB59,5,3 out of 5 stars,+18,UNK
183,10,Blake Corum,LAR,RB60,8,3 out of 5 stars,+13,UNK
184,10,Buffalo Bills,BUF,DST7,7,5 out of 5 stars,+15,UNK
185,10,Jalen Coker,CAR,WR70,14,4 out of 5 stars,+39,UNK
186,10,Brandon Aubrey,DAL,K1,10,4 out of 5 stars,-8,UNK
187,10,Xavier Legette,CAR,WR71,14,4 out of 5 stars,-11,UNK
188,10,Kansas City Chiefs,KC,DST8,10,1 out of 5 stars,+20,UNK
189,10,Detroit Lions,DET,DST9,8,1 out of 5 stars,+20,UNK
190,11,Cade Otton,TB,TE22,9,3 out of 5 stars,-15,UNK
191,11,Cameron Dicker,LAC,K2,12,5 out of 5 stars,+4,UNK
192,11,DeAndre Hopkins,BAL,WR72,7,3 out of 5 stars,-28,UNK
193,11,Jake Bates,DET,K3,8,1 out of 5 stars,+10,UNK
194,11,Chig Okonkwo,TEN,TE23,10,3 out of 5 stars,-2,UNK
195,11,Seattle Seahawks,SEA,DST10,8,3 out of 5 stars,+46,UNK
196,11,Alec Pierce,IND,WR73,11,4 out of 5 stars,+15,UNK
197,11,Green Bay Packers,GB,DST11,5,2 out of 5 stars,+28,UNK
198,11,Wil Lutz,DEN,K4,12,5 out of 5 stars,+60,UNK
